Object,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity
(2024 NH),2024-Jul-23 03:18 ± < 00:01,0.03363,0.03352,5.46,5.44,25.4,22 m -   49 m,0
(2024 PG1),2024-Jul-23 03:55 ±    00:14,0.0474,0.04681,11.53,11.53,24.1,40 m -   90 m,0
(2024 LY2),2024-Jul-23 07:52 ± < 00:01,0.03071,0.0307,7.82,7.81,22.8,72 m -  160 m,1
(2024 OP),2024-Jul-24 03:51 ± < 00:01,0.02358,0.02349,10.7,10.69,24.3,37 m -   82 m,0
(2024 OA),2024-Jul-24 06:05 ± < 00:01,0.00601,0.006,13.28,13.25,25.3,24 m -   53 m,1
(2011 MW1),2024-Jul-25 13:29 ± < 00:01,0.0258,0.0258,8.04,8.03,22.3,91 m -  200 m,1
(2024 NV1),2024-Jul-25 17:33 ± < 00:01,0.036,0.0358,10.17,10.16,25.2,25 m -   55 m,0
(2024 OA2),2024-Jul-25 19:35 ± < 00:01,0.01095,0.0109,9.15,9.12,27.4,8.6 m -   19 m,0
(2024 OJ),2024-Jul-26 01:14 ± < 00:01,0.03351,0.03349,7.9,7.89,26.3,15 m -   33 m,0
(2024 RA16),2024-Jul-26 06:17 ±    00:08,0.01023,0.01021,1.28,1.06,28.8,4.6 m -   10 m,0
(2024 MH1),2024-Jul-26 08:41 ± < 00:01,0.01201,0.012,5.81,5.77,25.5,21 m -   47 m,0
778852 (2011 AM24),2024-Jul-26 15:57 ± < 00:01,0.04311,0.04311,6.2,6.19,20.5,0.511±0.004 km,1
(2024 OG2),2024-Jul-27 13:28 ± < 00:01,0.00187,0.00187,10.23,10.09,29.1,4.0 m -  9.0 m,0
(2024 OZ1),2024-Jul-27 18:43 ±    00:03,0.01263,0.01229,11.4,11.38,25.7,19 m -   43 m,0
(2025 OW),2024-Jul-27 22:53 ±    12:05,0.0161,0.00313,21.41,21.4,23.6,52 m -  120 m,1
(2024 QJ1),2024-Jul-27 23:25 ±    00:06,0.04991,0.0496,6.14,6.13,25.1,26 m -   57 m,0
(2024 NZ1),2024-Jul-28 01:30 ± < 00:01,0.04988,0.0497,12.75,12.74,24,42 m -   94 m,0
523664 (2012 OD1),2024-Jul-28 02:47 ± < 00:01,0.03822,0.03822,23.69,23.68,18.5,0.346±0.092 km,2
(2024 OE2),2024-Jul-28 05:29 ± < 00:01,0.01531,0.01525,8.78,8.76,27.2,9.5 m -   21 m,0
(2024 PF2),2024-Jul-28 17:13 ±    00:04,0.00233,0.00232,7.11,6.95,25.9,18 m -   40 m,1
(2024 OK),2024-Jul-28 23:49 ±    00:14,0.01765,0.0176,4.59,4.56,27.5,8.5 m -   19 m,0
(2024 OH),2024-Jul-29 04:32 ± < 00:01,0.0492,0.04898,12.59,12.58,24.7,30 m -   68 m,0
(2024 OO1),2024-Jul-29 14:48 ± < 00:01,0.03697,0.03683,10.03,10.02,24.8,30 m -   66 m,0
(2024 OF),2024-Jul-29 19:42 ± < 00:01,0.04783,0.04763,10.1,10.09,23.7,49 m -  110 m,0
(2024 OB1),2024-Jul-29 23:53 ±    00:02,0.03796,0.03776,9.1,9.09,25.2,24 m -   54 m,0
(2024 OS1),2024-Jul-30 05:19 ± < 00:01,0.03073,0.03056,14.1,14.1,24.4,34 m -   77 m,0
(2024 PC),2024-Jul-30 11:57 ± < 00:01,0.00819,0.00817,6.81,6.76,26.4,14 m -   31 m,0
(2024 OT1),2024-Jul-30 15:09 ± < 00:01,0.00562,0.00561,14.57,14.54,26.6,13 m -   28 m,0
(2024 PC2),2024-Jul-31 22:58 ± < 00:01,0.01424,0.01423,9.94,9.92,22.2,95 m -  210 m,2
(2024 PD4),2024-Aug-01 02:53 ±    03:25,0.0244,0.02434,1.15,1.05,27.2,9.5 m -   21 m,0
(2024 OO),2024-Aug-01 13:59 ± < 00:01,0.01321,0.01315,11.35,11.33,25.5,21 m -   47 m,0
(2024 OE),2024-Aug-01 14:12 ± < 00:01,0.00995,0.00994,9.32,9.29,23.8,47 m -  100 m,1
